rebalance_date,ticker,posterior,earnings_date,earnings_day_return,ret_m1_p1,ret_0_p2,full_hold_return
2014-06-30,RCL,0.685674,2014-07-24,0.077005,0.114331,0.112929,0.072842
2014-07-31,DECK,0.7985,2014-08-11,0.013159,0.007232,-0.003744,0.042142
2014-07-31,GILD,0.789018,2014-08-04,0.007432,0.007864,0.014098,0.174877
2014-07-31,LRCX,0.753548,2014-08-26,-0.011006,-0.003356,0.001254,0.027286
2014-07-31,CENX,0.737112,2014-08-08,0.003405,0.017225,0.04572,0.328723
2014-07-31,ALB,0.732299,2014-07-31,-0.080498,-0.081784,-0.071054,0.036518
2014-07-31,HCA,0.731511,2014-08-05,0.014735,0.023515,0.021115,0.069055
2014-09-30,CMG,0.818709,2014-10-21,-0.069645,-0.051004,-0.065893,-0.04289
2014-09-30,RCL,0.780822,2014-10-23,-0.017817,0.017176,0.006465,0.010106
2014-09-30,AAPL,0.769751,2014-10-27,-0.001045,0.01822,0.020148,0.07196
2014-10-31,CRK,0.742118,2014-11-05,0.059134,-0.077748,0.206969,-0.251689
2014-10-31,MNST,0.740845,2014-11-07,0.078722,0.086619,0.064988,0.111717
2014-10-31,TRGP,0.722719,2014-11-04,-0.057706,-0.067325,-0.074048,-0.112649
2015-01-30,ACAD,0.849302,2015-02-26,0.01016,0.014156,0.022192,0.247782
2015-01-30,SWKS,0.754907,2015-02-04,0.000364,-0.005984,-0.010089,0.05827
2015-01-30,LRCX,0.707336,2015-02-03,0.012653,0.013083,0.017871,0.078755
2015-02-27,MNST,0.678653,2015-03-02,0.00078,0.127866,-0.011196,-0.019274
2015-04-30,RITM,0.867976,2015-05-11,-0.004113,0.005998,-0.018214,0.027383
2015-04-30,JBLU,0.810357,2015-04-30,-0.009648,0.02569,0.041003,-0.018023
2015-04-30,MNST,0.74628,2015-05-11,0.043123,-0.080633,0.011442,-0.071694
2015-06-30,UNH,0.798983,2015-07-29,0.0,0.022735,-0.000987,-0.004918
2015-06-30,CNC,0.786509,2015-07-28,0.008249,0.002462,0.012012,-0.127736
2015-06-30,HUM,0.764288,2015-07-29,-0.000596,-0.001142,-0.01317,-0.048045
2015-06-30,VAC,0.731673,2015-07-23,-0.089473,-0.069906,-0.091326,-0.088828
2015-06-30,SCI,0.72909,2015-07-30,0.000673,0.036345,0.031281,0.036697
2015-07-31,IBKR,0.763088,2015-08-10,0.006083,-0.018398,-0.025269,-0.003224
2015-07-31,AMN,0.760744,2015-08-06,-0.010243,0.134705,0.006438,0.141692
2015-07-31,MNST,0.74628,2015-08-10,-0.029765,-0.014289,-0.04706,-0.098274
2015-07-31,INCY,0.725911,2015-08-04,0.055395,0.064058,0.003558,0.114212
2015-07-31,SUPN,0.708787,2015-08-07,-0.050701,-0.0718,-0.04315,-0.144272
2015-09-30,FIX,0.786047,2015-10-29,-0.021025,0.06825,0.027595,0.171313
2015-09-30,NBIX,0.781432,2015-10-29,-0.028388,0.006768,0.019249,0.233727
2015-10-30,INCY,0.802654,2015-11-03,-0.00547,-0.003318,-0.032242,-0.027993
2015-10-30,JBLU,0.77984,2015-10-30,-0.00361,0.043831,0.019254,-0.004026
2015-10-30,WD,0.77838,2015-11-04,0.104575,0.032848,-0.000344,0.01827
2015-10-30,SRPT,0.777074,2015-11-05,-0.031512,-0.03153,0.047068,0.527847
2015-10-30,FTNT,0.758468,2015-11-09,-0.017915,0.002101,-0.033186,0.048312
2015-11-30,AZO,0.748655,2015-12-16,0.004453,-0.006824,-0.025509,-0.053409
2015-12-31,GPN,0.783272,2016-01-11,-0.027584,-0.046284,-0.062811,-0.086188
2016-01-29,SYK,0.825275,2016-02-11,-0.019776,0.00714,-0.007136,0.007362
2016-01-29,AMZN,0.804182,2016-01-29,-0.0761,-0.01464,-0.13103,-0.058739
2016-01-29,AMWD,0.797793,2016-02-26,-0.010403,-0.006402,0.016264,-0.01029
