ticker,date,trail_252_ret,bucket,fwd_21,fwd_63,fwd_126,fwd_252,max_fwd_drawdown_252,next_earnings_date,next_earn_day_ret,next_earn_ret_m1p1
RKLB,2024-11-29,5.214123352237013,>=+100%,-0.06634902227759376,-0.2521994462955871,-0.013563080275673434,0.6392961911689061,-0.4814697181667317,2025-02-27,-0.066823533002068,-0.03576471665326286
EXPI,2020-10-06,5.199999987463229,>=+100%,-0.08856314852515002,0.18807421444996342,0.7036166562732791,0.5906283187057522,-0.709779600794371,,,
AMR,2022-06-13,5.191444242635547,>=+100%,-0.1597681631313822,-0.06320089743020219,0.041912000467979604,0.08055188174892458,-0.30229920365061735,2022-08-08,0.09332198260022939,0.016946576704415017
TNDM,2018-10-10,5.1790763129134065,>=+100%,0.19249547310161197,0.2965223179581711,0.9154973536845927,0.7248323069260381,-0.3001230087327942,2018-11-01,0.08082958963554576,0.06328106964880442
MTDR,2021-11-05,5.100564292824804,>=+100%,-0.06672760623933471,0.019907230910281237,0.059211652269896886,0.6878033757719559,-0.34645431470750354,2022-02-28,0.08581434389306142,0.11252170478004575
ONDS,2025-08-27,5.071856649041061,>=+100%,0.5108480449818251,0.664694140950614,0.9881655981094302,,-0.5337477892288331,2025-11-13,0.19056255359009033,0.30308521417170353
MRNA,2021-03-01,5.070188663478975,>=+100%,-0.24720455871367042,0.17541297128962752,1.428335552999283,-0.02414223596138032,-0.7198381831990739,2021-05-06,-0.014369911511390443,0.0019036942125110201
RUN,2021-03-31,4.9881185403911275,>=+100%,-0.18981480868264966,-0.0777116534145672,-0.31200395295484196,-0.48809524935839854,-0.669477514510262,2021-05-05,-0.03594473083971683,0.07672806219538453
PLTR,2025-06-26,4.970612620490198,>=+100%,0.09448876868500866,0.2417330684033796,0.3460658451919951,,-0.3822280027586312,2025-08-05,0.07848873598230566,0.11751518233331248
TSLA,2013-09-13,4.954677477493239,>=+100%,0.08565898020970297,-0.10915794344752916,0.413434830456223,0.5335265857449198,-0.376842328287199,2013-11-08,-0.013021369858302934,0.03527223574403737
GOGO,2021-06-01,4.88636342208248,>=+100%,-0.12123549945544831,0.055598477037326344,0.023166038235786335,0.5644788051955589,-0.34733440577615426,2021-08-05,0.117307722286361,0.1548077566736572
ACMR,2020-10-12,4.879818866749419,>=+100%,0.0735312680124176,0.2853837809019162,0.05052061128132346,0.3369328010116819,-0.5411487373033164,2020-11-09,0.0037215846334506253,-0.08592382325867642
ENPH,2021-02-02,4.851458553983995,>=+100%,-0.22192804296509883,-0.336396207284422,-5.196368878823687e-05,-0.2593573454159471,-0.5519160170444339,2021-02-16,-0.06299934556632458,-0.08314366677481533
EXPI,2021-06-15,4.849747791960182,>=+100%,-0.047374212022746165,0.26692633172007896,-0.04950677296490791,-0.6487620650207937,-0.7800353331389626,,,
PECO,2022-04-28,4.839904431928996,>=+100%,0.007957386637005293,-0.021887423811287943,-0.14107057568512604,-0.07461992993705924,-0.21917727674914866,2022-05-05,-0.025787649361331932,-0.039827775395825604
ENPH,2020-12-01,4.838242314689886,>=+100%,0.36181601015784115,0.1632130212116698,0.04097786984235774,0.8382614620915327,-0.46383793246829264,2021-02-16,-0.06299934556632458,-0.08314366677481533
RKLB,2025-01-31,4.8333331577908725,>=+100%,-0.34612732054737816,-0.20860583907387287,0.5332186604227316,1.7975903193617362,-0.465032658981714,2025-02-27,-0.066823533002068,-0.03576471665326286
ACMR,2020-08-10,4.831781017513273,>=+100%,-0.4003393705989535,-0.08813258332404317,0.07994804183701265,-0.10120773487630008,-0.5411487373033164,2020-11-09,0.0037215846334506253,-0.08592382325867642
HOOD,2025-11-04,4.823754975934847,>=+100%,0.0020467746568026968,-0.4687134599136116,-0.4423976821810699,,-0.5426726163951239,2025-11-06,-0.10808530571500996,-0.0850645387466481
VSAT,2026-01-16,4.728179052937246,>=+100%,0.0006530821700263534,0.394862946160371,,,-0.2905756342368564,2026-02-06,0.11378211251299208,0.23611112384714672
AMR,2022-02-07,4.7122675078321485,>=+100%,0.5832357281361655,0.8853311444385017,0.7149291546837262,1.0992189038837856,-0.4001759206518559,2022-03-07,0.004218855152224643,0.08824812337335142
MRNA,2020-12-28,4.706967157450649,>=+100%,0.43222621962615837,0.06364449049171306,1.1046678949946038,1.167324947345878,-0.5338823729947624,2021-02-26,0.043334630436624666,0.06078978782077593
ENPH,2019-09-16,4.673170919492092,>=+100%,0.0378331535729699,0.05846950115945648,0.2588134307190877,2.102321709030279,-0.5940091435239656,2019-10-29,-0.009827043818859793,-0.262578622835836
XPEL,2021-07-15,4.631438362241998,>=+100%,-0.10262500462167845,-0.15512536891868678,-0.2095260586543557,-0.3420834091530258,-0.5888560355093384,2021-08-09,-0.02300632160230931,0.019191806199371886
ACAD,2013-12-26,4.578947555545517,>=+100%,-0.06996857898106346,-0.10966984500618426,-0.11910379807536231,0.24724838349582656,-0.40797343956863763,2014-02-27,0.012786038926470678,-0.047779276887663924
CC,2017-08-04,4.5465562382065166,>=+100%,-0.021887240689963394,0.13294653259165456,-0.04811994296548372,-0.05196301749329846,-0.23983965586858258,2017-11-03,-0.06573507585825644,-0.0668096627804039
PECO,2022-02-24,4.529825361451895,>=+100%,0.07278669509338243,0.1358534377166576,0.09165749322894912,0.12502266597901657,-0.23110270146072986,2022-05-05,-0.025787649361331932,-0.039827775395825604
ENPH,2021-04-06,4.504356752502672,>=+100%,-0.19655522590824914,0.19560536821056584,-0.08162360397103419,0.3701874834834138,-0.5519160170444339,2021-04-27,-0.008977630163706118,-0.1490876984902062
ASTH,2021-08-05,4.497949628117292,>=+100%,-0.14725625913180007,-0.2012786328905195,-0.4596696866387716,-0.42035159925037646,-0.7441607346446056,,,
HZO,2021-03-24,4.460245986024454,>=+100%,0.11853984399014217,-0.011074592276833717,0.02214934102197752,-0.09741591803751815,-0.3716907588963406,2021-04-27,0.027720000697907254,0.016112271058688288
SIG,2021-07-19,4.445021404954859,>=+100%,0.03131317963314317,0.37891114157921657,0.4303520454994947,-0.03470348506604182,-0.540034887072198,2021-09-02,0.057029286987682726,0.03272981601520586
BBWI,2021-05-18,4.441660183097387,>=+100%,-0.094424063191068,0.05561524186909628,0.33801508449552986,-0.1546382347543208,-0.418343619917791,2021-06-03,-0.028667878002332392,-0.03396064016102096
TGTX,2023-05-10,4.427457370310704,>=+100%,-0.21069277488242855,-0.721184261166953,-0.6898534154094467,-0.5222765046891499,-0.8079908119416798,2023-08-04,-0.04374998030917954,-0.09821423629716863
INTC,2026-05-13,4.423354339966228,>=+100%,0.03558066960447093,,,,-0.19713406036177983,,,
TSLA,2021-04-21,4.417928488092375,>=+100%,-0.21144435047994992,-0.1193759128036832,0.16146590927196613,0.3132291010288242,-0.37878383316471753,2021-04-28,-0.014672094304228334,-0.03936199926211148
REZI,2021-03-16,4.365942199561707,>=+100%,-0.021944682898791257,0.04490208933229978,-0.06076978708336078,-0.13774476057076468,-0.2992029013217774,2021-05-06,0.013184563578578112,0.02366466412254642
GDEN,2021-07-07,4.313868008392667,>=+100%,0.08173067579688387,0.14514649415495762,0.1643772866122295,-0.07692316982908731,-0.33794735597902203,2021-08-06,0.08994726556195753,0.06285714807725462
SMCI,2023-10-16,4.28903015988614,>=+100%,0.007473636393537264,0.09098698178514453,2.2914395822861464,0.6712948319935772,-0.6747161348527777,2023-11-03,0.03700690694450204,0.027206206647377495
APP,2025-08-26,4.273370635643434,>=+100%,0.36345426768506806,0.19276416127051132,-0.05198899408641844,,-0.49985003288876506,2025-11-05,0.013751060028099005,0.02083195246822478
RDN,2013-05-08,4.271892451468298,>=+100%,-0.028176248058641495,0.09080702684853081,0.14404019830365655,0.13069655069168307,-0.2135461642110258,2013-05-10,0.01843365371154304,0.026882039814687175
